nbOpes,type,size,nbRenamingBots
30000,rlsWithoutGC,5491476,1
30000,rlsWithGC,5491476,1
30000,content,36464,1
31000,rlsWithoutGC,3116854,1
31000,rlsWithGC,37468,1
30000,rlsWithoutGC,6020518,1
30000,rlsWithGC,6020518,1
30000,content,36104,1
31000,rlsWithoutGC,3489164,1
31000,rlsWithGC,37112,1
30000,rlsWithoutGC,4421906,1
30000,rlsWithGC,4421906,1
30000,content,36288,1
31000,rlsWithoutGC,2391042,1
31000,rlsWithGC,37300,1
30000,rlsWithoutGC,4925354,1
30000,rlsWithGC,4925354,1
30000,content,35948,1
31000,rlsWithoutGC,2739286,1
31000,rlsWithGC,36954,1
30000,rlsWithoutGC,4776664,1
30000,rlsWithGC,4776664,1
30000,content,35884,1
31000,rlsWithoutGC,2634274,1
31000,rlsWithGC,36888,1
30000,rlsWithoutGC,4292074,1
30000,rlsWithGC,4292074,1
30000,content,36368,1
31000,rlsWithoutGC,2310112,1
31000,rlsWithGC,37376,1
30000,rlsWithoutGC,5990372,1
30000,rlsWithGC,5990372,1
30000,content,35740,1
31000,rlsWithoutGC,3449240,1
31000,rlsWithGC,36748,1
30000,rlsWithoutGC,5030220,1
30000,rlsWithGC,5030220,1
30000,content,36060,1
31000,rlsWithoutGC,2804924,1
31000,rlsWithGC,37070,1
30000,rlsWithoutGC,5381286,1
30000,rlsWithGC,5381286,1
30000,content,36030,1
31000,rlsWithoutGC,3039830,1
31000,rlsWithGC,37040,1
30000,rlsWithoutGC,4807562,1
30000,rlsWithGC,4807562,1
30000,content,35636,1
31000,rlsWithoutGC,2674572,1
31000,rlsWithGC,36644,1
30000,rlsWithoutGC,4338896,1
30000,rlsWithGC,4338896,1
30000,content,36876,1
31000,rlsWithoutGC,2340426,1
31000,rlsWithGC,37888,1
30000,rlsWithoutGC,5392162,1
30000,rlsWithGC,5392162,1
30000,content,36156,1
31000,rlsWithoutGC,3055852,1
31000,rlsWithGC,37164,1
30000,rlsWithoutGC,4694016,1
30000,rlsWithGC,4694016,1
30000,content,35828,1
31000,rlsWithoutGC,2558390,1
31000,rlsWithGC,36840,1
30000,rlsWithoutGC,4490608,2
30000,rlsWithGC,4490608,2
30000,content,35916,2
31000,rlsWithoutGC,4855248,2
31000,rlsWithGC,37096,2
30000,rlsWithoutGC,5596596,2
30000,rlsWithGC,5596596,2
30000,content,36000,2
31000,rlsWithoutGC,6368520,2
31000,rlsWithGC,37182,2
30000,rlsWithoutGC,5175900,2
30000,rlsWithGC,5175900,2
30000,content,35828,2
31000,rlsWithoutGC,5806040,2
31000,rlsWithGC,37008,2
30000,rlsWithoutGC,5144382,2
30000,rlsWithGC,5144382,2
30000,content,35948,2
31000,rlsWithoutGC,5723354,2
31000,rlsWithGC,37128,2
30000,rlsWithoutGC,5319648,2
30000,rlsWithGC,5319648,2
30000,content,35888,2
31000,rlsWithoutGC,6023190,2
31000,rlsWithGC,37062,2
30000,rlsWithoutGC,4413824,2
30000,rlsWithGC,4413824,2
30000,content,35976,2
31000,rlsWithoutGC,4766168,2
31000,rlsWithGC,37152,2
30000,rlsWithoutGC,5261652,2
30000,rlsWithGC,5261652,2
30000,content,36008,2
31000,rlsWithoutGC,5887210,2
31000,rlsWithGC,37188,2
30000,rlsWithoutGC,4455992,2
30000,rlsWithGC,4455992,2
30000,content,35572,2
31000,rlsWithoutGC,4794684,2
31000,rlsWithGC,36754,2
30000,rlsWithoutGC,4914044,2
30000,rlsWithGC,4914044,2
30000,content,36012,2
31000,rlsWithoutGC,5458212,2
31000,rlsWithGC,37184,2
30000,rlsWithoutGC,4818932,2
30000,rlsWithGC,4818932,2
30000,content,35760,2
31000,rlsWithoutGC,5326480,2
